종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,날짜
013120,동원개발,KOSDAQ,우량기업부,2575.0,-10.0,-0.39,2585.0,2610.0,2550.0,85247.0,219239125.0,233830857500.0,90808100,20240701
004890,동일산업,KOSPI,,41500.0,0.0,0.0,41400.0,41750.0,41300.0,496.0,20571300.0,100646422500.0,2425215,20240701
002690,동일제강,KOSPI,,1668.0,-2.0,-0.12,1654.0,1673.0,1650.0,4864.0,8081065.0,33861000480.0,20300360,20240701
023530,롯데쇼핑,KOSPI,,63900.0,400.0,0.63,63500.0,64200.0,63400.0,26939.0,1716779700.0,1807651444500.0,28288755,20240701
004990,롯데지주,KOSPI,,25050.0,-150.0,-0.6,25100.0,25150.0,24800.0,63677.0,1590237600.0,2627976386850.0,104909237,20240701
071840,롯데하이마트,KOSPI,,9040.0,-40.0,-0.44,9120.0,9220.0,9020.0,17618.0,160328320.0,213413716480.0,23607712,20240701
101330,모베이스,KOSDAQ,우량기업부,3665.0,-35.0,-0.95,3675.0,3730.0,3665.0,54109.0,200115210.0,84833861285.0,23147029,20240701
001810,무림SP,KOSDAQ,중견기업부,1815.0,-17.0,-0.93,1816.0,1845.0,1815.0,14324.0,26074657.0,40179562500.0,22137500,20240701
009200,무림페이퍼,KOSPI,,2285.0,25.0,1.11,2260.0,2300.0,2245.0,128824.0,293519130.0,95077273350.0,41609310,20240701
085620,미래에셋생명,KOSPI,,5480.0,10.0,0.18,5500.0,5560.0,5330.0,215528.0,1175820350.0,970048715720.0,177016189,20240701
019010,베뉴지,KOSDAQ,우량기업부,2010.0,-30.0,-1.47,2020.0,2040.0,2010.0,34434.0,69344660.0,96882000000.0,48200000,20240701
000070,삼양홀딩스,KOSPI,,68900.0,100.0,0.15,68900.0,69400.0,68600.0,2710.0,186965100.0,590078271900.0,8564271,20240701
004440,삼일씨엔에스,KOSPI,,4450.0,-45.0,-1.0,4495.0,4545.0,4450.0,14651.0,65904345.0,56657164150.0,12731947,20240701
004690,삼천리,KOSPI,,91400.0,300.0,0.33,91300.0,91700.0,91000.0,4124.0,376609100.0,370629285000.0,4055025,20240701
038540,상상인,KOSDAQ,우량기업부,3125.0,5.0,0.16,3105.0,3130.0,3100.0,22412.0,69905920.0,172900978125.0,55328313,20240701
017390,서울가스,KOSPI,,56700.0,-300.0,-0.53,56700.0,57000.0,56600.0,2926.0,165958900.0,283500000000.0,5000000,20240701
011370,서한,KOSDAQ,우량기업부,829.0,-1.0,-0.12,826.0,835.0,825.0,60432.0,50100194.0,83641843085.0,100894865,20240701
037350,성도이엔지,KOSDAQ,우량기업부,4690.0,70.0,1.52,4625.0,4695.0,4595.0,44421.0,206798220.0,72554300000.0,15470000,20240701
000180,성창기업지주,KOSPI,,1780.0,-11.0,-0.61,1791.0,1799.0,1780.0,22097.0,39490108.0,124157848000.0,69751600,20240701
058650,세아홀딩스,KOSPI,,106500.0,400.0,0.38,107200.0,107400.0,105700.0,170.0,18170800.0,426000000000.0,4000000,20240701
024830,세원물산,KOSDAQ,우량기업부,7160.0,40.0,0.56,7110.0,7610.0,7070.0,3144.0,22863770.0,59786000000.0,8350000,20240701
021820,세원정공,KOSPI,,8890.0,-190.0,-2.09,9100.0,9100.0,8880.0,20718.0,185383400.0,88900000000.0,10000000,20240701
067830,세이브존I&C,KOSPI,,2375.0,10.0,0.42,2375.0,2380.0,2365.0,10070.0,23866685.0,97472125625.0,41040895,20240701
005800,신영와코루,KOSPI,,9100.0,-10.0,-0.11,9050.0,9110.0,9030.0,528.0,4789380.0,81900000000.0,9000000,20240701
127710,아시아경제,KOSDAQ,우량기업부,1215.0,4.0,0.33,1201.0,1219.0,1198.0,5846.0,7081993.0,42408459630.0,34904082,20240701
032080,아즈텍WB,KOSDAQ,중견기업부,1349.0,-14.0,-1.03,1353.0,1363.0,1348.0,21531.0,29109892.0,28991398121.0,21491029,20240701
097780,에코볼트,KOSDAQ,중견기업부,1012.0,0.0,0.0,1020.0,1020.0,1001.0,38521.0,38860229.0,68543102056.0,67730338,20240701
000670,영풍,KOSPI,,338500.0,-500.0,-0.15,335500.0,339000.0,334000.0,1676.0,563453000.0,623530540000.0,1842040,20240701
012160,영흥,KOSPI,,505.0,-20.0,-3.81,524.0,525.0,505.0,138834.0,71270361.0,51161737860.0,101310372,20240701
006980,우성,KOSPI,,18210.0,30.0,0.17,18180.0,18210.0,18060.0,1231.0,22402500.0,56268900000.0,3090000,20240701
010400,우진아이엔에스,KOSPI,,3765.0,-45.0,-1.18,3810.0,3810.0,3700.0,7812.0,29260005.0,28696830000.0,7622000,20240701
030530,원익홀딩스,KOSDAQ,우량기업부,3400.0,-10.0,-0.29,3410.0,3410.0,3380.0,44766.0,151960055.0,262609135400.0,77237981,20240701
012620,원일특강,KOSDAQ,우량기업부,7980.0,-70.0,-0.87,8100.0,8100.0,7940.0,5984.0,47749450.0,35112000000.0,4400000,20240701
