종목명,자산 총액,부채 총액,자본 총액,매출액,영업이익,순이익,현금 흐름,종목코드,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,BVPS,적정 주가
KISCO홀딩스,1781127291819,212071737598,1569055554221,258124279860,2544411313,12188403759,16450326907,001940,KOSPI,,19090,60,0.32,18940,19290,18940,23060,440430390,308807094200,16176380,96996.70471520822,96996.70471520822
미래에셋생명,32398401335619,29768801526599,2629599809020,,,43626965112,-246986967667,085620,KOSPI,,5200,50,0.97,5190,5270,5140,82796,429922500,920484182800,177016189,14855.137396614047,14855.137396614047
대성산업,1728961495328,1105851932422,623109562906,396226088022,13255519497,9439999958,22281521458,128820,KOSPI,,3605,-10,-0.28,3580,3625,3580,80511,290066955,163073898190,45235478,13774.797801539757,13774.797801539757
대한제분,1501584402961,496626693269,1004957709692,339617665765,19461516736,14630729151,23822387716,001130,KOSPI,,140900,-200,-0.14,141000,141100,140100,552,77545200,238121000000,1690000,594649.5323621301,594649.5323621301
아시아경제,492923992575,332028867512,160895125063,16903397623,-4673452226,-6705538625,58456726340,127710,KOSDAQ,우량기업부,1108,-11,-0.98,1119,1121,1092,11529,12749071,38673722856,34904082,4609.636347490818,4609.636347490818
동원개발,1422897148398,373007346986,1049889801412,172733688409,24698181463,21534492347,-15989024042,013120,KOSDAQ,우량기업부,2605,-5,-0.19,2635,2660,2595,86330,225328750,236555100500,90808100,11561.631632112114,11561.631632112114
동일산업,478041947566,69816756392,408225191174,115973673977,-1842888556,185578312,-2034727497,004890,KOSPI,,42750,0,0.0,42900,43000,42250,469,20090050,103677941250,2425215,168325.36132837707,168325.36132837707
현대백화점,11736386620000,5415244533000,6321142087000,951730723000,68864398000,70759211000,258753206000,069960,KOSPI,,46450,250,0.54,45900,46550,45850,31002,1432443450,1087043384450,23402441,270106.1007695736,270106.1007695736
성도이엔지,676121587544,407059189768,269062397776,189998193051,6843692875,5873016546,22043186983,037350,KOSDAQ,우량기업부,4180,5,0.12,4175,4250,4160,10254,43041270,64664600000,15470000,17392.52732876535,17392.52732876535
한화손해보험,17997084083467,14914513324448,3082570759019,,,108474808970,147818381010,000370,KOSPI,,5080,10,0.2,5070,5120,5020,158279,801402560,593033688200,116738915,26405.68279240046,26405.68279240046
