종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"009070","KCTC","KOSPI",,,,,,,,,,,"30000000"
"009440","KC그린홀딩스","KOSPI",,,,,,,,,,,"22434980"
"112190","KC산업","KONEX","일반기업부",,,,,,,,,,"7125253"
"119650","KC코트렐","KOSPI",,,,,,,,,,,"17600000"
"044180","KD","KOSDAQ","중견기업부",,,,,,,,,,"23281243"
"092220","KEC","KOSPI",,,,,,,,,,,"144718141"
"151860","KG ETS","KOSDAQ","우량기업부",,,,,,,,,,"36000000"
"016380","KG동부제철","KOSPI",,,,,,,,,,,"100008897"
"016385","KG동부제철우","KOSPI",,,,,,,,,,,"53385"
"046440","KG모빌리언스","KOSDAQ","우량기업부",,,,,,,,,,"38825568"
"035600","KG이니시스","KOSDAQ","우량기업부",,,,,,,,,,"27904434"
"001390","KG케미칼","KOSPI",,,,,,,,,,,"13866096"
"226360","KH E&T","KOSDAQ","벤처기업부",,,,,,,,,,"71353755"
"111870","KH 일렉트론","KOSDAQ","중견기업부",,,,,,,,,,"110941315"
"033180","KH 필룩스","KOSPI",,,,,,,,,,,"136730264"
"060720","KH바텍","KOSDAQ","중견기업부",,,,,,,,,,"23677442"
"001940","KISCO홀딩스","KOSPI",,,,,,,,,,,"18476380"
"122450","KMH","KOSDAQ","중견기업부",,,,,,,,,,"45335964"
"052900","KMH하이텍","KOSDAQ","중견기업부",,,,,,,,,,"51628046"
"058400","KNN","KOSDAQ","우량기업부",,,,,,,,,,"132429720"
"114450","KPX생명과학","KOSDAQ","중견기업부",,,,,,,,,,"15000000"
"025000","KPX케미칼","KOSPI",,,,,,,,,,,"4840000"
"092230","KPX홀딩스","KOSPI",,,,,,,,,,,"4224646"
"000040","KR모터스","KOSPI",,,,,,,,,,,"96137368"
"044450","KSS해운","KOSPI",,,,,,,,,,,"23185880"
"030200","KT","KOSPI",,,,,,,,,,,"261111808"
"033780","KT&G","KOSPI",,,,,,,,,,,"137292497"
"030210","KTB투자증권","KOSPI",,,,,,,,,,,"60314092"
"058850","KTcs","KOSPI",,,,,,,,,,,"42685000"
"058860","KTis","KOSPI",,,,,,,,,,,"34802000"
"060370","KT서브마린","KOSDAQ","중견기업부",,,,,,,,,,"21900000"
"093050","LF","KOSPI",,,,,,,,,,,"29240000"
"003550","LG","KOSPI",,,,,,,,,,,"157300993"
"034220","LG디스플레이","KOSPI",,,,,,,,,,,"357815700"
"051900","LG생활건강","KOSPI",,,,,,,,,,,"15618197"
"051905","LG생활건강우","KOSPI",,,,,,,,,,,"2099697"
"003555","LG우","KOSPI",,,,,,,,,,,"3021620"
"032640","LG유플러스","KOSPI",,,,,,,,,,,"436611361"
"011070","LG이노텍","KOSPI",,,,,,,,,,,"23667107"
"066570","LG전자","KOSPI",,,,,,,,,,,"163647814"
"066575","LG전자우","KOSPI",,,,,,,,,,,"17185992"
"037560","LG헬로비전","KOSPI",,,,,,,,,,,"77446865"
"051910","LG화학","KOSPI",,,,,,,,,,,"70592343"
"051915","LG화학우","KOSPI",,,,,,,,,,,"7688800"
"079550","LIG넥스원","KOSPI",,,,,,,,,,,"22000000"
"006260","LS","KOSPI",,,,,,,,,,,"32200000"
"010120","LS ELECTRIC","KOSPI",,,,,,,,,,,"30000000"
"000680","LS네트웍스","KOSPI",,,,,,,,,,,"78803016"
"229640","LS전선아시아","KOSPI",,,,,,,,,,,"30624879"
"108320","LX세미콘","KOSDAQ","우량기업부",,,,,,,,,,"16264300"
"001120","LX인터내셔널","KOSPI",,,,,,,,,,,"38760000"
"108670","LX하우시스","KOSPI",,,,,,,,,,,"8967670"
"108675","LX하우시스우","KOSPI",,,,,,,,,,,"1032330"
"383800","LX홀딩스","KOSPI",,,,,,,,,,,"76280690"
"38380K","LX홀딩스1우","KOSPI",,,,,,,,,,,"1465285"
"023150","MH에탄올","KOSPI",,,,,,,,,,,"7378526"
"035420","NAVER","KOSPI",,,,,,,,,,,"164049085"
"160550","NEW","KOSDAQ","중견기업부",,,,,,,,,,"27906106"
"053290","NE능률","KOSDAQ","중견기업부",,,,,,,,,,"16526307"
"181710","NHN","KOSPI",,,,,,,,,,,"19565025"
"104200","NHN벅스","KOSDAQ","중견기업부",,,,,,,,,,"14827550"
"060250","NHN한국사이버결제","KOSDAQ","우량기업부",,,,,,,,,,"36016415"
"400760","NH올원리츠","KOSPI",,,,,,,,,,,"42200000"
"005940","NH투자증권","KOSPI",,,,,,,,,,,"297033887"
"005945","NH투자증권우","KOSPI",,,,,,,,,,,"18870968"
"338100","NH프라임리츠","KOSPI",,,,,,,,,,,"18660000"
"034310","NICE","KOSPI",,,,,,,,,,,"37882300"
"030190","NICE평가정보","KOSDAQ","우량기업부",,,,,,,,,,"60714820"
"008260","NI스틸","KOSPI",,,,,,,,,,,"28600117"
"004250","NPC","KOSPI",,,,,,,,,,,"36720000"
"004255","NPC우","KOSPI",,,,,,,,,,,"5280000"
"010060","OCI","KOSPI",,,,,,,,,,,"23849371"
"078590","OQP","KOSDAQ","관리종목(소속부없음)",,,,,,,,,,"83006958"
"178920","PI첨단소재","KOSPI",,,,,,,,,,,"29366322"
"024940","PN풍년","KOSDAQ","벤처기업부",,,,,,,,,,"10000000"
"005490","POSCO","KOSPI",,,,,,,,,,,"87186835"
"218410","RFHIC","KOSDAQ","우량기업부",,,,,,,,,,"26664397"
"327260","RF머트리얼즈","KOSDAQ","벤처기업부",,,,,,,,,,"4023849"
"091340","S&K폴리텍","KOSDAQ","중견기업부",,,,,,,,,,"11703721"
"010950","S-Oil","KOSPI",,,,,,,,,,,"112582792"
"010955","S-Oil우","KOSPI",,,,,,,,,,,"4021927"
"019550","SBI인베스트먼트","KOSDAQ","벤처기업부",,,,,,,,,,"162066575"
