종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"017860","DS단석","KOSPI",,"92400","-2400","-2.53","93600","95500","92000","46490","4329331500","541593729600","5861404"
"180400","DXVX","KOSDAQ","중견기업부","3460","-75","-2.12","3425","3500","3260","5437724","18382704655","104559234720","30219432"
"017940","E1","KOSPI",,"74800","100","0.13","75000","75600","74000","9059","676408400","513128000000","6860000"
"245620","EDGC","KOSDAQ","관리종목(소속부없음)","415","0","0.00","0","0","0","0","0","57474989665","138493951"
"037370","EG","KOSDAQ","중견기업부","7140","10","0.14","7120","7190","7120","12741","91042580","61582300080","8624972"
"278990","EMB","KONEX","일반기업부","8590","190","2.26","8600","8600","8200","12","102700","41245580790","4801581"
"365550","ESR켄달스퀘어리츠","KOSPI",,"4880","65","1.35","4815","4880","4785","192501","931659715","1039874320000","213089000"
"050120","ES큐브","KOSDAQ","중견기업부","1999","-6","-0.30","1993","2005","1985","4198","8359049","27114607914","13564086"
"383220","F&F","KOSPI",,"63500","800","1.28","63000","64300","62300","131925","8347718600","2432499262500","38307075"
"007700","F&F홀딩스","KOSPI",,"14610","0","0.00","14520","14700","14460","20813","304085820","571460901870","39114367"
"214270","FSN","KOSDAQ","중견기업부","2085","-5","-0.24","2065","2300","1951","3183494","6916335968","69327215355","33250463"
"130500","GH신소재","KOSDAQ","우량기업부","3070","20","0.66","3050","3165","3050","120228","373146390","44653309640","14545052"
"114090","GKL","KOSPI",,"11950","-50","-0.42","11850","12000","11720","248581","2942053120","739175256500","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","3200","0","0.00","3200","3200","3175","34594","110055295","215600000000","67375000"
"078930","GS","KOSPI",,"46250","-1100","-2.32","47100","48000","45800","191698","8914306100","4297336232500","92915378"
"083450","GST","KOSDAQ","우량기업부","17150","-760","-4.24","17330","17770","17150","647991","11250957320","319303159000","18618260"
"006360","GS건설","KOSPI",,"17760","30","0.17","17730","18000","17620","399069","7105183260","1519927262400","85581490"
"001250","GS글로벌","KOSPI",,"3650","95","2.67","3495","3750","3435","12512318","45874505045","301248238600","82533764"
"007070","GS리테일","KOSPI",,"21150","150","0.71","20900","21200","20750","119969","2513782550","2214784050300","104717922"
"078935","GS우","KOSPI",,"38200","-700","-1.80","38750","38900","38200","24141","932610450","68180353200","1784826"
"297890","HB솔루션","KOSDAQ","우량기업부","4740","-215","-4.34","4860","4940","4730","2192351","10538430430","346687932360","73140914"
"440290","HB인베스트먼트","KOSDAQ","중견기업부","2270","-15","-0.66","2285","2300","2245","27370","62210395","61532912700","27107010"
