종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"025980","아난티","5850","-110","-1.85","1127","5.19",,,"7054","0.83","0","0.00"
"008700","아남전자","1523","-3","-0.20","91","16.74",,,"1381","1.10","0","0.00"
"125210","아모그린텍","9420","-420","-4.27","789","11.94",,,"4169","2.26","0","0.00"
"002790","아모레G","31550","-700","-2.17","1296","24.34","2218","14.22","37035","0.85","245","0.78"
"00279K","아모레G3우(전환)","21100","-150","-0.71",,,,,,,"667","3.16"
"002795","아모레G우","11220","30","0.27",,,,,,,"250","2.23"
"090430","아모레퍼시픽","179000","3800","2.17","2609","68.61","5918","30.25","70961","2.52","910","0.51"
"090435","아모레퍼시픽우","49800","500","1.01",,,,,,,"915","1.84"
"357580","아모센스","9340","10","0.11",,,"780","11.98","3248","2.88","0","0.00"
"052710","아모텍","5780","-160","-2.69",,,"379","15.24","11289","0.51","0","0.00"
"074430","아미노로직스","1370","3","0.22","28","48.93",,,"620","2.21","0","0.00"
"092040","아미코젠","4985","-165","-3.20",,,,,"3226","1.55","0","0.00"
"083930","아바코","15600","0","0.00","306","50.98","2155","7.24","12784","1.22","200","1.28"
"149950","아바텍","12060","-640","-5.04","346","34.86","1352","8.92","10274","1.17","100","0.83"
"036010","아비코전자","7950","-120","-1.49",,,"746","10.66","8521","0.93","50","0.63"
"002030","아세아","255000","-3000","-1.16","54991","4.64",,,"626202","0.41","5000","1.96"
"183190","아세아시멘트","11040","10","0.09","2312","4.78","2646","4.17","27147","0.41","255","2.31"
"002310","아세아제지","8370","-10","-0.12","1857","4.51",,,"20168","0.42","484","5.78"
"050860","아세아텍","2245","-60","-2.60","451","4.98",,,"6134","0.37","50","2.23"
"012170","아센디오","873","15","1.75",,,,,"255","3.42","0","0.00"
"136410","아셈스","6550","10","0.15","286","22.90",,,"5487","1.19","0","0.00"
"246720","아스타","6390","220","3.57",,,,,"468","13.65","0","0.00"
"067390","아스트","635","-19","-2.91",,,,,"674","0.94","0","0.00"
"159010","아스플로","9010","70","0.78","272","33.13","1426","6.32","4372","2.06","0","0.00"
"127710","아시아경제","1108","-11","-0.98",,,,,"4839","0.23","0","0.00"
"267850","아시아나IDT","16000","70","0.44","987","16.21",,,"14847","1.08","500","3.13"
"020560","아시아나항공","10160","-40","-0.39","386","26.32","5215","1.95","9138","1.11","0","0.00"
"154030","아시아종묘","2350","-10","-0.42",,,,,"2005","1.17","0","0.00"
"227610","아우딘퓨쳐스","1770","-68","-3.70",,,,,"820","2.16","0","0.00"
"143160","아이디스","14960","120","0.81","1951","7.67",,,"21214","0.71","300","2.01"
"054800","아이디스홀딩스","9210","10","0.11","2624","3.51",,,"29473","0.31","250","2.71"
"332370","아이디피","3345","245","7.90","451","7.42",,,"4127","0.81","120","3.59"
"122900","아이마켓코리아","8600","20","0.23","481","17.88","793","10.85","10917","0.79","600","6.98"
"339950","아이비김영","1765","1","0.06","180","9.81",,,"1036","1.70","20","1.13"
"099190","아이센스","18930","-1770","-8.55","135","140.22","250","75.60","10337","1.83","100","0.53"
"289010","아이스크림에듀","3090","-10","-0.32",,,,,"3522","0.88","0","0.00"
"214430","아이쓰리시스템","36600","550","1.53","1810","20.22","2068","17.70","12937","2.83","350","0.96"
"040910","아이씨디","7130","0","0.00",,,,,"8064","0.88","0","0.00"
"368600","아이씨에이치","4270","35","0.83",,,,,"3173","1.35","0","0.00"
"456010","아이씨티케이","8210","10","0.12",,,,,"847","9.69","0","0.00"
"052860","아이앤씨","2115","25","1.20",,,,,"2529","0.84","0","0.00"
"010780","아이에스동서","23950","250","1.05","5338","4.49","4077","5.87","51629","0.46","1500","6.26"
"069920","아이에스이커머스","2525","-185","-6.83",,,,,"1632","1.55","0","0.00"
"038880","아이에이","226","0","0.00",,,,,"267","0.85","0","0.00"
"307180","아이엘사이언스","3050","20","0.66",,,,,"221","13.80","0","0.00"
"101390","아이엠","5230","40","0.77",,,"479","10.91","2533","2.06","0","0.00"
"461030","아이엠비디엑스","16200","890","5.81",,,,,"729","22.22","0","0.00"
"451220","아이엠티","15170","-80","-0.52",,,,,"3372","4.50","0","0.00"
"078860","아이오케이","9990","330","3.42",,,,,"15951","0.63","0","0.00"
"090150","아이윈","1031","-13","-1.25",,,,,"1021","1.01","0","0.00"
"123010","아이윈플러스","910","-1","-0.11",,,,,"1393","0.65","0","0.00"
"031310","아이즈비전","2150","-10","-0.46",,,,,"6617","0.32","0","0.00"
"185490","아이진","2745","25","0.92",,,,,"2339","1.17","0","0.00"
"059100","아이컴포넌트","4550","0","0.00",,,,,"5380","0.85","0","0.00"
"262840","아이퀘스트","2350","-20","-0.84","172","13.66",,,"2478","0.95","100","4.26"
"175250","아이큐어","2940","-110","-3.61",,,,,"1558","1.89","0","0.00"
"052460","아이크래프트","2820","-15","-0.53","381","7.40",,,"3153","0.89","80","2.84"
"119830","아이텍","7210","-80","-1.10",,,,,"6760","1.07","0","0.00"
"052770","아이톡시","1653","-4","-0.24",,,,,"277","5.97","0","0.00"
"124500","아이티센","4540","-10","-0.22","32","141.88",,,"3038","1.49","0","0.00"
"372800","아이티아이즈","5050","10","0.20",,,,,"2856","1.77","0","0.00"
"084850","아이티엠반도체","19180","60","0.31",,,"360","53.24","8941","2.15","0","0.00"
"114840","아이패밀리에스씨","36300","150","0.41","1167","31.11","2488","14.59","4012","9.05","158","0.44"
"027360","아주IB투자","2625","70","2.74","141","18.62",,,"2185","1.20","50","1.90"
"139990","아주스틸","4995","-35","-0.70",,,,,"8333","0.60","0","0.00"
"032080","아즈텍WB","1343","-1","-0.07",,,,,"5163","0.26","0","0.00"
"013310","아진산업","3130","-25","-0.79","1315","2.38",,,"7523","0.42","100","3.19"
"059120","아진엑스텍","9750","280","2.96","54","180.56",,,"4694","2.08","0","0.00"
"158430","아톤","3900","-45","-1.14","437","8.92",,,"3537","1.10","30","0.77"
"321820","아티스트유나이티드","10600","-320","-2.93",,,,,"2115","5.01","0","0.00"
"001540","안국약품","7800","210","2.77","114","68.42",,,"13382","0.58","220","2.82"
"053800","안랩","58400","-800","-1.35","4125","14.16",,,"32433","1.80","1300","2.23"
"065660","안트로젠","15460","280","1.84",,,,,"13302","1.16","0","0.00"
