종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"357580","아모센스","9300","-30","-0.32",,,"780","11.93","3248","2.86","0","0.00"
"052710","아모텍","5810","-130","-2.19",,,"379","15.32","11289","0.51","0","0.00"
"074430","아미노로직스","1384","17","1.24","28","49.43",,,"620","2.23","0","0.00"
"092040","아미코젠","5010","-140","-2.72",,,,,"3226","1.55","0","0.00"
"083930","아바코","15620","20","0.13","306","51.05","2155","7.25","12784","1.22","200","1.28"
"149950","아바텍","12170","-530","-4.17","346","35.17","1352","9.00","10274","1.18","100","0.82"
"036010","아비코전자","8060","-10","-0.12",,,"746","10.80","8521","0.95","50","0.62"
"002030","아세아","254000","-4000","-1.55","54991","4.62",,,"626202","0.41","5000","1.97"
"183190","아세아시멘트","11010","-20","-0.18","2312","4.76","2646","4.16","27147","0.41","255","2.32"
"002310","아세아제지","8340","-40","-0.48","1857","4.49",,,"20168","0.41","484","5.80"
"050860","아세아텍","2270","-35","-1.52","451","5.03",,,"6134","0.37","50","2.20"
"012170","아센디오","889","31","3.61",,,,,"255","3.49","0","0.00"
"136410","아셈스","6440","-100","-1.53","286","22.52",,,"5487","1.17","0","0.00"
"246720","아스타","6330","160","2.59",,,,,"468","13.53","0","0.00"
"067390","아스트","640","-14","-2.14",,,,,"674","0.95","0","0.00"
"159010","아스플로","9050","110","1.23","272","33.27","1426","6.35","4372","2.07","0","0.00"
"127710","아시아경제","1109","-10","-0.89",,,,,"4839","0.23","0","0.00"
"267850","아시아나IDT","16060","130","0.82","987","16.27",,,"14847","1.08","500","3.11"
"020560","아시아나항공","10180","-20","-0.20","386","26.37","5215","1.95","9138","1.11","0","0.00"
"154030","아시아종묘","2350","-10","-0.42",,,,,"2005","1.17","0","0.00"
"227610","아우딘퓨쳐스","1788","-50","-2.72",,,,,"820","2.18","0","0.00"
"143160","아이디스","14860","20","0.13","1951","7.62",,,"21214","0.70","300","2.02"
