종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"007070","GS리테일","KOSPI",,"23950","1200","5.27","23350","24400","22600","1266503","30243080600","2507994231900","104717922"
"078935","GS우","KOSPI",,"34250","100","0.29","34150","34300","34150","2399","82103950","61130290500","1784826"
"297890","HB솔루션","KOSDAQ","우량기업부","5080","60","1.20","5080","5230","5050","2534086","12966575260","331881256480","65330956"
"078150","HB테크놀러지","KOSDAQ","우량기업부","2560","5","0.20","2555","2595","2530","851497","2176543020","219784117760","85853171"
"012630","HDC","KOSPI",,"5910","50","0.85","5810","5910","5810","26634","156129710","353073571110","59741721"
"039570","HDC랩스","KOSPI",,"7840","160","2.08","7670","8000","7610","4766","37133140","203507591840","25957601"
"089470","HDC현대EP","KOSPI",,"4140","0","0.00","4120","4140","4070","24127","99333575","132066000000","31900000"
"294870","HDC현대산업개발","KOSPI",,"10170","140","1.40","10050","10170","10000","118444","1196740700","670277546100","65907330"
"009540","HD한국조선해양","KOSPI",,"122300","-600","-0.49","123300","123500","121300","161165","19677990800","8655552086800","70773116"
"267250","HD현대","KOSPI",,"62500","-1300","-2.04","63800","63800","61900","123682","7744731800","4937067812500","78993085"
"267270","HD현대건설기계","KOSPI",,"77000","-300","-0.39","77100","77300","75900","81306","6222310200","1516961061000","19700793"
"322000","HD현대에너지솔루션","KOSPI",,"32700","600","1.87","32100","32700","32000","25302","815160250","366240000000","11200000"
"042670","HD현대인프라코어","KOSPI",,"10970","90","0.83","10900","11000","10700","1586738","17181765740","2189649879410","199603453"
"267260","HD현대일렉트릭","KOSPI",,"74300","-1900","-2.49","75500","76800","73600","209621","15675365000","2678302130500","36047135"
"329180","HD현대중공업","KOSPI",,"134300","-1200","-0.89","135500","135500","133000","70436","9446685300","11922229478800","88773116"
"097230","HJ중공업","KOSPI",,"4230","30","0.71","4195","4230","4105","30729","127316165","352250208630","83274281"
"195940","HK이노엔","KOSDAQ GLOBAL","중견기업부","36250","1200","3.42","35150","36850","35150","457744","16597271300","1026958548750","28329891"
"014790","HL D&I","KOSPI",,"2355","10","0.43","2345","2400","2335","7724","18202340","89157005355","37858601"
"028300","HLB","KOSDAQ","중견기업부","30900","800","2.66","30100","31100","29950","686404","21027005050","3794517589800","122799922"
"003580","HLB글로벌","KOSPI",,"4120","155","3.91","3990","4170","3950","101892","415465285","174578651080","42373459"
"278650","HLB바이오스텝","KOSDAQ","중견기업부","3265","145","4.65","3085","3320","3085","827671","2677906155","256630110100","78600340"
"343090","HLB사이언스","KONEX","일반기업부","2030","-170","-7.73","2210","2400","1995","21111","42833682","26240287500","12926250"
"067630","HLB생명과학","KOSDAQ","중견기업부","9200","450","5.14","8710","9200","8710","616584","5583161060","936552152400","101799147"
"024850","HLB이노베이션","KOSDAQ","중견기업부","3340","90","2.77","3230","3460","3230","329040","1105366425","222134151540","66507231"
"047920","HLB제약","KOSDAQ","기술성장기업부","12840","670","5.51","12260","13160","12170","371760","4757503180","380116669680","29604102"
"115450","HLB테라퓨틱스","KOSDAQ","중견기업부","4040","160","4.12","3800","4050","3800","242350","963315810","296161071840","73307196"
"204320","HL만도","KOSPI",,"42800","400","0.94","42200","42800","42150","220416","9362740800","2009764736000","46957120"
"060980","HL홀딩스","KOSPI",,"35900","-500","-1.37","36400","36950","35500","18794","671088100","365081819000","10169410"
"011200","HMM","KOSPI",,"17300","0","0.00","17200","17440","17110","820664","14213919920","8460383280800","489039496"
"403870","HPSP","KOSDAQ","벤처기업부","35300","-800","-2.22","35700","36100","34200","1145398","40389264750","2864912700000","81159000"
"036640","HRS","KOSDAQ","우량기업부","5240","40","0.77","5150","5270","5120","37059","193117270","85699152000","16354800"
"082740","HSD엔진","KOSPI",,"11370","-270","-2.32","11720","11720","11130","846782","9525591990","813455211780","71543994"
"035000","HS애드","KOSPI",,"5910","20","0.34","5890","5930","5860","5231","30759060","97913387190","16567409"
"405350","IBKS제17호스팩","KOSDAQ","SPAC(소속부없음)","3275","55","1.71","3200","3300","3200","6714","21869955","8908000000","2720000"
"426550","IBKS제19호스팩","KOSDAQ","SPAC(소속부없음)","2325","0","0.00","0","0","0","0","0","11811000000","5080000"
"439730","IBKS제20호스팩","KOSDAQ","SPAC(소속부없음)","2320","20","0.87","2300","2330","2290","10551","24194075","9999200000","4310000"
"442770","IBKS제21호스팩","KOSDAQ","SPAC(소속부없음)","2225","-5","-0.22","2225","2225","2205","4904","10836625","9367250000","4210000"
"448760","IBKS제22호스팩","KOSDAQ","SPAC(소속부없음)","2245","-110","-4.67","2350","2350","2230","97001","219608730","9945350000","4430000"
"003560","IHQ","KOSPI",,"239","0","0.00","0","0","0","0","0","57908659872","242295648"
"095340","ISC","KOSDAQ","우량기업부","90800","200","0.22","89500","92700","85600","410249","36788099700","1579871966800","17399471"
"099520","ITX-AI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","49626429228","38649867"
"175330","JB금융지주","KOSPI",,"8670","-230","-2.58","8780","8830","8640","364060","3169982690","1707841690980","196982894"
"950170","JTC","KOSDAQ","관리종목(소속부없음)","3780","165","4.56","3665","3780","3570","52873","201550575","190090994940","50288623"
"234080","JW생명과학","KOSPI",,"14800","450","3.14","14350","14800","14200","90657","1328418500","234351399200","15834554"
"067290","JW신약","KOSDAQ","중견기업부","3110","180","6.14","2955","3285","2930","2754382","8689485920","150608520470","48427177"
"001060","JW중외제약","KOSPI",,"42300","4800","12.80","38300","43000","38300","1702327","70031223850","965922022800","22835036"
"001067","JW중외제약2우B","KOSPI",,"64900","-100","-0.15","64800","64900","64700","52","3374400","13363948400","205916"
"001065","JW중외제약우","KOSPI",,"34000","100","0.29","33900","34000","33650","2207","74943800","11401050000","335325"
"096760","JW홀딩스","KOSPI",,"4095","100","2.50","3995","4120","3995","267396","1093089160","296920911105","72508159"
"035900","JYP Ent.","KOSDAQ GLOBAL","우량기업부","128100","-800","-0.62","127900","129000","122700","589718","74468955100","4547228725200","35497492"
"318000","KBG","KOSDAQ","벤처기업부","9240","200","2.21","9050","9280","8900","115974","1059067090","80759660520","8740223"
"024840","KBI메탈","KOSDAQ","중견기업부","1683","-2","-0.12","1663","1706","1662","135018","226686845","57142113039","33952533"
"105560","KB금융","KOSPI",,"50800","-1000","-1.93","51600","51900","50700","939669","47949850183","20498362457600","403511072"
"432320","KB스타리츠","KOSPI",,"3850","-65","-1.66","3920","3920","3835","121449","468865200","390444997250","101414285"
"024120","KB오토시스","KOSDAQ","중견기업부","4725","120","2.61","4570","4780","4535","43772","203778420","54337500000","11500000"
"455250","KB제25호스팩","KOSDAQ","SPAC(소속부없음)","2080","-10","-0.48","2085","2095","2080","34984","72941005","8954400000","4305000"
"002380","KCC","KOSPI",,"209500","-5500","-2.56","215500","215500","209000","28034","5916501500","1861715674500","8886471"
"021320","KCC건설","KOSDAQ","우량기업부","5080","40","0.79","5040","5090","5010","6892","34887740","108712000000","21400000"
"344820","KCC글라스","KOSPI",,"41350","250","0.61","41000","41550","40750","14806","607345650","660380671200","15970512"
"036670","KCI","KOSDAQ","우량기업부","7970","160","2.05","7810","8000","7810","7069","55883730","89821900000","11270000"
"009070","KCTC","KOSPI",,"4100","-135","-3.19","4280","4365","4100","208065","879828605","123000000000","30000000"
"009440","KC그린홀딩스","KOSPI",,"3550","-60","-1.66","3670","3670","3470","113856","401292030","79644179000","22434980"
"112190","KC산업","KONEX","일반기업부","2050","5","0.24","2050","2050","1942","626","1280524","14606768650","7125253"
"119650","KC코트렐","KOSPI",,"1949","14","0.72","1905","1949","1860","293000","559684790","70817753070","36335430"
"044180","KD","KOSDAQ","투자주의환기종목(소속부없음)","733","20","2.81","713","749","690","116513","83321922","19584146667","26717799"
"092220","KEC","KOSPI",,"1798","12","0.67","1784","1815","1775","925015","1664175166","360972127518","200763141"
"151860","KG ETS","KOSDAQ","우량기업부","11880","670","5.98","11220","11880","11210","485652","5617903390","427680000000","36000000"
"046440","KG모빌리언스","KOSDAQ","우량기업부","5750","110","1.95","5610","5750","5610","104879","597633630","223247016000","38825568"
"003620","KG모빌리티","KOSPI",,"8180","270","3.41","7900","8190","7890","409569","3304959160","1529300276320","186956024"
"016380","KG스틸","KOSPI",,"8200","100","1.23","8060","8230","8060","269212","2192722330","820072955400","100008897"
"035600","KG이니시스","KOSDAQ","우량기업부","11080","120","1.09","10890","11110","10860","52969","583713810","309181128720","27904434"
"001390","KG케미칼","KOSPI",,"42550","350","0.83","41600","43000","41550","108265","4584998200","590002384800","13866096"
"226360","KH 건설","KOSDAQ","투자주의환기종목(소속부없음)","319","0","0.00","0","0","0","0","0","39434949389","123620531"
"111870","KH 전자","KOSDAQ","관리종목(소속부없음)","198","0","0.00","0","0","0","0","0","31672044756","159959822"
"033180","KH 필룩스","KOSPI",,"442","0","0.00","0","0","0","0","0","84294994836","190712658"
"060720","KH바텍","KOSDAQ","중견기업부","17880","-230","-1.27","17900","18280","17750","371987","6652799540","423352662960","23677442"
"015590","KIB플러그에너지","KOSPI",,"930","-9","-0.96","938","939","901","3240665","2973116860","220346335920","236931544"
"001940","KISCO홀딩스","KOSPI",,"17740","-60","-0.34","17610","18000","17610","5206","92414520","286968981200","16176380"
"058400","KNN","KOSDAQ","우량기업부","922","6","0.66","914","925","911","109692","100988237","122100201840","132429720"
"025000","KPX케미칼","KOSPI",,"43400","0","0.00","43550","43900","43250","2033","88193050","210056000000","4840000"
"092230","KPX홀딩스","KOSPI",,"49950","150","0.30","49800","49950","49750","284","14163150","211021067700","4224646"
"000040","KR모터스","KOSPI",,"511","2","0.39","509","518","508","180222","92283541","49126755615","96138465"
