종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"039570","HDC랩스","KOSPI",,"8460","150","1.81","8370","8460","8340","10460","87979880","219601304460","25957601"
"089470","HDC현대EP","KOSPI",,"4520","-30","-0.66","4600","4600","4500","33244","150633050","144188000000","31900000"
"294870","HDC현대산업개발","KOSPI",,"17430","-510","-2.84","17940","17940","17320","190344","3339242730","1148764761900","65907330"
"009540","HD한국조선해양","KOSPI",,"118400","-1800","-1.50","120300","121800","117200","199548","23657488800","8379536934400","70773116"
"267250","HD현대","KOSPI",,"71900","3000","4.35","69400","72800","69400","454704","32627265000","5679602811500","78993085"
"267270","HD현대건설기계","KOSPI",,"57900","-600","-1.03","58800","58900","57400","184860","10731850400","1140675914700","19700793"
"322000","HD현대에너지솔루션","KOSPI",,"24600","1100","4.68","23800","24800","23750","264728","6474748650","275520000000","11200000"
"042670","HD현대인프라코어","KOSPI",,"8430","-130","-1.52","8560","8580","8380","2146523","18143412040","1682657108790","199603453"
"267260","HD현대일렉트릭","KOSPI",,"179400","700","0.39","179400","183900","175000","353291","63263890000","6466856019000","36047135"
"329180","HD현대중공업","KOSPI",,"118000","-700","-0.59","121500","122500","117400","163448","19428420200","10475227688000","88773116"
"097230","HJ중공업","KOSPI",,"3295","10","0.30","3390","3390","3295","14417","47858905","274388755895","83274281"
"195940","HK이노엔","KOSDAQ GLOBAL","중견기업부","37050","-950","-2.50","38000","38050","36950","153427","5720326300","1049622461550","28329891"
"014790","HL D&I","KOSPI",,"2020","5","0.25","2005","2035","2005","39057","78893105","76474374020","37858601"
"028300","HLB","KOSDAQ","중견기업부","105200","-4500","-4.10","111000","114100","103400","2845699","305141938800","13761426713200","130812041"
"003580","HLB글로벌","KOSPI",,"8170","-310","-3.66","8620","8920","8000","1382108","11611038320","363754249880","44523164"
"278650","HLB바이오스텝","KOSDAQ","중견기업부","4510","95","2.15","4480","4705","4305","11793909","53572492570","385370430390","85447989"
